encodeur,fraction_labels,nombre_labels,seed,loss_train,accuracy_train,accuracy_evaluation,ensemble_evaluation,duree_probe_secondes
aleatoire,0.01,450,42,0.21513849649164413,0.98,0.2595,test,0.6885847999947146
aleatoire,0.1,4500,42,1.1193216109805637,0.6204444444444445,0.3377,test,2.8338732999982312
aleatoire,1.0,45000,42,1.5240279346677992,0.4636,0.4229,test,26.388021499995375
aleatoire,0.01,450,123,0.18209455172220865,0.9933333333333333,0.2437,test,0.38192670000717044
aleatoire,0.1,4500,123,1.0965922474331327,0.6266666666666667,0.3292,test,2.7982247000036296
aleatoire,1.0,45000,123,1.5238520413928562,0.4636222222222222,0.423,test,26.616802500007907
aleatoire,0.01,450,2026,0.1696157792541716,0.9911111111111112,0.2667,test,0.3393563000136055
aleatoire,0.1,4500,2026,1.0560188483132256,0.642,0.3306,test,2.7536457999958657
aleatoire,1.0,45000,2026,1.5240622708002727,0.46313333333333334,0.4232,test,27.585830199997872
simclr,0.01,450,42,0.11232876201470693,0.9911111111111112,0.7163,test,0.3844579000142403
simclr,0.1,4500,42,0.27259950092103746,0.9142222222222223,0.786,test,2.8763649000029545
simclr,1.0,45000,42,0.4103699166138967,0.8543111111111111,0.819,test,28.287936299981084
simclr,0.01,450,123,0.10827322228087319,0.9911111111111112,0.7242,test,0.39143990000593476
simclr,0.1,4500,123,0.2919128785663181,0.9026666666666666,0.7887,test,2.902922499983106
simclr,1.0,45000,123,0.4104397234916687,0.8538444444444444,0.8189,test,28.186376700003166
simclr,0.01,450,2026,0.09970511678192351,0.9933333333333333,0.7194,test,0.40684699997655116
simclr,0.1,4500,2026,0.276134157816569,0.9128888888888889,0.7903,test,2.8891328999889083
simclr,1.0,45000,2026,0.41037917798890006,0.8542444444444445,0.8182,test,28.041390800004592
